"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 72%,  Fixed: 28%",72,0.00806860247114796,0.0395922573476415,0.203792433462464,0.197262429036905,0.197865465837684,"Monthly"
"Large_Cap: 73%,  Fixed: 27%",73,0.00812014515719312,0.0400933637303578,0.202530902914607,0.196082513664039,0.196678013417243,"Monthly"
"Large_Cap: 74%,  Fixed: 26%",74,0.00817168784323827,0.0405954322970635,0.20129574636478,0.194927108292249,0.195515243135396,"Monthly"
"Large_Cap: 75%,  Fixed: 25%",75,0.00822323052928343,0.0410984277849403,0.200086255666857,0.193795562089701,0.194376498867416,"Monthly"
"Large_Cap: 76%,  Fixed: 24%",76,0.00827477321532859,0.0416023165730015,0.198901741464528,0.192687240999289,0.193261141449391,"Monthly"
"Large_Cap: 77%,  Fixed: 23%",77,0.00832631590137375,0.0421070665913017,0.197741533082567,0.191601527695648,0.192168548629172,"Monthly"
"Large_Cap: 78%,  Fixed: 22%",78,0.0083778585874189,0.0426126472358405,0.196604978354231,0.190537821477845,0.191098114953028,"Monthly"
"Large_Cap: 79%,  Fixed: 21%",79,0.00842940127346406,0.0431190292887706,0.195491443395256,0.189495538107905,0.190049251598222,"Monthly"
"Large_Cap: 80%,  Fixed: 20%",80,0.00848094395950922,0.0436261848435469,0.194400312333608,0.188474109604098,0.189021386160417,"Monthly"
"Large_Cap: 81%,  Fixed: 19%",81,0.00853248664555438,0.0441340872346827,0.193330987002925,0.187472983996696,0.188013962403694,"Monthly"
"Large_Cap: 82%,  Fixed: 18%",82,0.00858402933159953,0.0446427109717995,0.19228288660655,0.186491625052984,0.187026439979919,"Monthly"
"Large_Cap: 83%,  Fixed: 17%",83,0.00863557201764469,0.0451520316776829,0.191255447358152,0.185529511977359,0.186058294123353,"Monthly"
"Large_Cap: 84%,  Fixed: 16%",84,0.00868711470368985,0.0456620260300736,0.190248122104096,0.18458613909161,0.185109015325591,"Monthly"
"Large_Cap: 85%,  Fixed: 15%",85,0.00873865738973501,0.0461726717069476,0.189260379932056,0.183661015499804,0.184178108995239,"Monthly"
"Large_Cap: 86%,  Fixed: 14%",86,0.00879020007578016,0.0466839473350508,0.188291705769713,0.182753664741554,0.183265095106154,"Monthly"
"Large_Cap: 87%,  Fixed: 13%",87,0.00884174276182532,0.0471958324414754,0.18734159997685,0.181863624436986,0.18236950783752,"Monthly"
"Large_Cap: 88%,  Fixed: 12%",88,0.00889328544787048,0.0477083074080777,0.18640957793369,0.180990445926207,0.181490895208599,"Monthly"
"Large_Cap: 89%,  Fixed: 11%",89,0.00894482813391564,0.0482213534285513,0.185495169627891,0.180133693905709,0.180628818710572,"Monthly"
"Large_Cap: 90%,  Fixed: 10%",90,0.0089963708199608,0.0487349524679841,0.18459791924227,0.179292946063774,0.179782852937536,"Monthly"
"Large_Cap: 91%,  Fixed: 9%",91,0.00904791350600595,0.0492490872247383,0.183717384744972,0.178467792716634,0.178952585218423,"Monthly"
"Large_Cap: 92%,  Fixed: 8%",92,0.00909945619205111,0.0497637410945046,0.182853137483588,0.177657836446896,0.178137615251331,"Monthly"
"Large_Cap: 93%,  Fixed: 7%",93,0.00915099887809627,0.050278898136392,0.182004761784403,0.176862691745465,0.177337554741503,"Monthly"
"Large_Cap: 94%,  Fixed: 6%",94,0.00920254156414143,0.0507945430409239,0.181171854557825,0.176081984658028,0.176552027044024,"Monthly"
"Large_Cap: 95%,  Fixed: 5%",95,0.00925408425018658,0.0513106610998207,0.180354024910798,0.175315352436963,0.175780666812081,"Monthly"
