"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 89%,  Fixed: 11%",89,22.2177193387098,8.38878877666323,2.64850146191751,2.62661443071451,2.55292811722407,"360 Months"
"Large_Cap: 90%,  Fixed: 10%",90,22.4025446380825,8.47376062464342,2.64375471888259,2.62208716301888,2.54913974958774,"360 Months"
"Large_Cap: 91%,  Fixed: 9%",91,22.5873699374553,8.55898340319286,2.63902485533846,2.61757304581144,2.54535197813514,"360 Months"
"Large_Cap: 92%,  Fixed: 8%",92,22.7721952368281,8.64444969078955,2.63431404558827,2.61307432666136,2.54156729709753,"360 Months"
"Large_Cap: 93%,  Fixed: 7%",93,22.9570205362008,8.73015233573501,2.62962427840247,2.6085930667295,2.5377880113501,"360 Months"
"Large_Cap: 94%,  Fixed: 6%",94,23.1418458355736,8.81608444502289,2.62495736966747,2.6041311533517,2.53401624877507,"360 Months"
"Large_Cap: 95%,  Fixed: 5%",95,23.3266711349464,8.90223937369114,2.62031497421692,2.59969031181425,2.53025397184915,"360 Months"
"Large_Cap: 96%,  Fixed: 4%",96,23.5114964343191,8.98861071463806,2.61569859689556,2.59527211637047,2.52650298850116,"360 Months"
"Large_Cap: 97%,  Fixed: 3%",97,23.6963217336919,9.07519228888308,2.61110960290279,2.59087800054489,2.52276496228348,"360 Months"
"Large_Cap: 98%,  Fixed: 2%",98,23.8811470330647,9.16197813625347,2.60654922746085,2.58650926676899,2.51904142189864,"360 Months"
"Large_Cap: 99%,  Fixed: 1%",99,24.0659723324375,9.24896250647918,2.60201858484976,2.5821670953901,2.51533377012045,"360 Months"
"Large_Cap: 100%,  Fixed: 0%",100,24.2507976318102,9.33613985067789,2.59751867684902,2.57785255309265,2.5116432921466,"360 Months"
