"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 27%,  Fixed: 73%",27,Inf,4.25753076888223,Inf,Inf,NA,0.000985852588686651,Inf,NA,0.217986383424687,"360 Months"
"Large_Cap: 28%,  Fixed: 72%",28,Inf,4.28926466551787,Inf,Inf,NA,0.00099362074447935,Inf,NA,0.217284337701864,"360 Months"
"Large_Cap: 29%,  Fixed: 71%",29,Inf,4.32293306469445,Inf,Inf,NA,0.00100073085752888,Inf,NA,0.216499520505938,"360 Months"
"Large_Cap: 30%,  Fixed: 70%",30,Inf,4.35849113580423,Inf,Inf,Inf,0.00100719905163859,Inf,Inf,0.215641964551789,"360 Months"
"Large_Cap: 31%,  Fixed: 69%",31,Inf,4.39589302281423,Inf,Inf,Inf,0.00101304311046755,Inf,Inf,0.214720838629378,"360 Months"
"Large_Cap: 32%,  Fixed: 68%",32,Inf,4.43509207832901,Inf,Inf,Inf,0.00101828222453631,Inf,Inf,0.213744489152932,"360 Months"
"Large_Cap: 33%,  Fixed: 67%",33,Inf,4.47604108633666,Inf,Inf,Inf,0.00102293674470647,Inf,Inf,0.212720486838736,"360 Months"
"Large_Cap: 34%,  Fixed: 66%",34,Inf,4.51869247216251,Inf,Inf,NA,0.00102702794548191,Inf,NA,0.211655676377299,"360 Months"
"Large_Cap: 35%,  Fixed: 65%",35,Inf,4.56299849851713,Inf,Inf,NA,0.00103057780085232,Inf,NA,0.210556227402494,"360 Months"
"Large_Cap: 36%,  Fixed: 64%",36,Inf,4.60891144686555,Inf,Inf,NA,0.00103360877478277,Inf,NA,0.209427685439447,"360 Months"
"Large_Cap: 37%,  Fixed: 63%",37,Inf,4.6563837836581,Inf,Inf,NA,0.00103614362786841,Inf,NA,0.208275021835586,"360 Months"
"Large_Cap: 38%,  Fixed: 62%",38,Inf,4.70536831124484,Inf,Inf,Inf,0.00103820524113398,Inf,Inf,0.207102681947656,"360 Months"
"Large_Cap: 39%,  Fixed: 61%",39,Inf,4.75581830354223,Inf,Inf,Inf,0.00103981645747581,Inf,Inf,0.20591463107748,"360 Months"
"Large_Cap: 40%,  Fixed: 60%",40,Inf,4.80768762673228,Inf,Inf,Inf,0.00104099994082362,Inf,Inf,0.204714397825581,"360 Months"
"Large_Cap: 41%,  Fixed: 59%",41,Inf,4.8609308454502,Inf,Inf,Inf,0.00104177805274573,Inf,Inf,0.203505114671313,"360 Months"
"Large_Cap: 42%,  Fixed: 58%",42,Inf,4.91550331505848,Inf,Inf,Inf,0.00104217274593133,Inf,Inf,0.202289555695986,"360 Months"
"Large_Cap: 43%,  Fixed: 57%",43,Inf,4.9713612607152,Inf,Inf,Inf,0.0010422054737549,Inf,Inf,0.201070171446917,"360 Months"
